mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
random,random,random,False,96,0,96,1,0.99,130.24,17.968928738241463
random,random,random,False,96,0,96,1,0.5,129.88,18.96970215896918
random,random,random,include_walls,96,0,96,1,0.9,129.54000000000002,18.15484508333794
random,random,random,exclude_walls,96,0,96,1,0.9,129.35999999999999,18.24879174082492
random,random,random,include_walls,96,0,96,1,0.7,129.18,18.876906526229348
random,random,random,exclude_walls,96,0,96,1,0.7,129.0,18.9724010077797
random,random,random,include_walls,96,0,96,1,0.99,128.62,18.196087491546088
random,random,random,exclude_walls,96,0,96,1,0.99,128.61999999999998,18.196087491546088
random,random,random,include_walls,96,0,96,1,0.5,128.56,19.0945646716546
random,random,random,exclude_walls,96,0,96,1,0.5,128.38,19.18878839322587
semantic,semantic,avoid_walls,exclude_walls,192,0,192,1,0.7,636.34,36.60948510973627
semantic,semantic,avoid_walls,include_walls,192,0,192,1,0.7,636.3399999999999,36.60948510973627
semantic,semantic,avoid_walls,exclude_walls,192,0,192,1,0.9,633.76,41.973544048602804
semantic,semantic,avoid_walls,include_walls,192,0,192,1,0.9,633.1999999999999,42.420419611314564
semantic,semantic,avoid_walls,False,192,0,192,1,0.9,625.52,29.16836642666159
semantic,semantic,avoid_walls,include_walls,192,0,192,1,0.5,601.9200000000001,34.81680054226696
semantic,semantic,avoid_walls,exclude_walls,192,0,192,1,0.5,601.92,34.81680054226696
semantic,semantic,avoid_walls,False,192,0,192,1,0.7,600.62,32.31571753806498
episodic,episodic,avoid_walls,False,192,192,0,1,1.0,599.26,69.67078584313514
random,episodic_semantic,avoid_walls,include_walls,192,96,96,1,0.5,559.36,40.4301174868439
semantic,semantic,avoid_walls,False,192,0,192,1,0.5,555.32,31.965068434151664
random,episodic_semantic,avoid_walls,exclude_walls,192,96,96,1,0.9,544.92,17.12745164932602
random,episodic_semantic,avoid_walls,include_walls,192,96,96,1,0.9,542.24,22.071665093508486
random,episodic_semantic,avoid_walls,exclude_walls,192,96,96,1,0.7,518.02,32.07886531659122
random,episodic_semantic,avoid_walls,False,192,96,96,1,0.7,517.26,36.91311961891055
random,episodic_semantic,avoid_walls,False,192,96,96,1,0.99,517.18,19.407050265303084
random,episodic_semantic,avoid_walls,False,192,96,96,1,0.5,516.18,25.68816069709937
random,episodic_semantic,avoid_walls,include_walls,192,0,192,1,0.9,511.2200000000001,12.384086563004958
semantic,semantic,avoid_walls,include_walls,192,0,192,1,0.99,508.8,70.4400170357731
random,episodic_semantic,avoid_walls,include_walls,192,96,96,1,0.7,508.71999999999997,64.84410227615153
semantic,semantic,avoid_walls,exclude_walls,192,0,192,1,0.99,508.7,70.30331428887264
random,episodic_semantic,avoid_walls,False,192,96,96,1,0.9,507.34,24.529785975421813
random,episodic_semantic,avoid_walls,exclude_walls,192,96,96,1,0.5,506.68,47.840752502442946
random,episodic_semantic,avoid_walls,include_walls,192,96,96,1,0.99,501.46000000000004,43.2800462106962
random,episodic_semantic,avoid_walls,exclude_walls,192,96,96,1,0.99,495.98,41.04482427785508
semantic,semantic,avoid_walls,False,192,0,192,1,0.99,494.4,54.4612155574956
random,episodic_semantic,avoid_walls,include_walls,192,0,192,1,0.7,485.82,30.38127054617696
random,episodic_semantic,avoid_walls,exclude_walls,192,0,192,1,0.7,479.67999999999995,39.40453780974978
random,random,avoid_walls,include_walls,192,96,96,1,0.7,464.37999999999994,61.25237628043503
random,random,avoid_walls,exclude_walls,192,96,96,1,0.7,462.66,45.64456594163208
random,random,avoid_walls,False,192,96,96,1,0.99,456.68,34.64484954506226
random,random,avoid_walls,exclude_walls,192,96,96,1,0.9,455.56000000000006,34.91679252165068
random,episodic_semantic,avoid_walls,False,192,0,192,1,0.9,453.62,24.124709324673734
random,random,avoid_walls,include_walls,192,96,96,1,0.99,450.52,37.184157917048495
random,episodic_semantic,avoid_walls,exclude_walls,192,0,192,1,0.9,442.88,47.44037942512685
random,episodic_semantic,avoid_walls,exclude_walls,192,0,192,1,0.5,442.85999999999996,70.88042324930066
random,random,avoid_walls,False,192,96,96,1,0.7,442.16,34.88877183278311
random,random,avoid_walls,include_walls,192,96,96,1,0.5,437.06000000000006,43.1091915952967
random,random,avoid_walls,include_walls,192,96,96,1,0.9,436.12,36.96952258279785
random,random,avoid_walls,False,192,96,96,1,0.5,434.84000000000003,24.695149321273615
random,episodic_semantic,avoid_walls,include_walls,192,0,192,1,0.5,432.08000000000004,42.702758693086814
random,random,avoid_walls,False,192,96,96,1,0.9,425.56000000000006,58.049723513553445
random,random,avoid_walls,exclude_walls,192,96,96,1,0.99,424.48,34.59875142255861
