mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
random,episodic_semantic,random,include_walls,48,0,48,1,0.5,132.94,6.059570941906696
random,episodic_semantic,random,False,48,24,24,1,0.9,131.64000000000001,5.3090865504340785
random,episodic_semantic,random,include_walls,48,0,48,1,0.99,131.62000000000003,11.254225872977674
random,episodic_semantic,avoid_walls,exclude_walls,48,0,48,1,0.5,130.88000000000002,8.278743866070506
random,episodic_semantic,random,exclude_walls,48,0,48,1,0.5,129.35999999999999,6.56219475480574
random,episodic_semantic,random,False,48,24,24,1,0.7,129.1,4.217582245789636
random,episodic_semantic,avoid_walls,exclude_walls,48,0,48,1,0.7,128.68,8.60172075808091
random,episodic_semantic,avoid_walls,include_walls,48,0,48,1,0.9,127.63999999999999,13.761773141568638
random,episodic_semantic,random,False,48,24,24,1,0.5,127.63999999999999,12.154110415822291
random,episodic_semantic,random,exclude_walls,48,0,48,1,0.99,127.38,7.804460263208471
random,episodic_semantic,avoid_walls,False,48,48,0,1,1.0,127.34,13.528872828140566
random,episodic_semantic,random,exclude_walls,48,24,24,1,0.99,124.94000000000001,6.300984050130579
random,episodic_semantic,avoid_walls,include_walls,48,0,48,1,0.99,123.93999999999998,6.248711867257126
random,episodic_semantic,random,exclude_walls,48,24,24,1,0.5,123.18000000000002,6.919942196290375
random,episodic_semantic,random,exclude_walls,48,0,48,1,0.9,123.16,7.158938468795492
random,episodic_semantic,random,include_walls,48,24,24,1,0.5,122.12,10.411032609688627
random,episodic_semantic,random,include_walls,48,24,24,1,0.9,121.94000000000001,7.452945726355451
random,episodic_semantic,random,include_walls,48,24,24,1,0.99,120.91999999999999,10.239609367549136
random,episodic_semantic,random,include_walls,48,0,48,1,0.7,120.88,9.955179556391737
random,episodic_semantic,random,exclude_walls,48,0,48,1,0.7,120.17999999999999,14.53993122404642
random,episodic_semantic,random,exclude_walls,48,24,24,1,0.7,118.51999999999998,7.223406398646007
random,episodic_semantic,random,exclude_walls,48,24,24,1,0.9,117.52000000000001,9.672310995827212
random,episodic_semantic,random,include_walls,48,24,24,1,0.7,116.7,4.215210552273755
random,episodic_semantic,random,False,48,48,0,1,1.0,110.97999999999999,5.543428541976528
episodic,episodic,random,False,48,48,0,1,1.0,96.54,6.17174205553019
random,random,avoid_walls,False,48,24,24,1,0.5,94.02,5.544871504372305
random,random,avoid_walls,include_walls,48,24,24,1,0.5,90.9,3.2851179583083505
random,random,avoid_walls,False,48,24,24,1,0.99,90.66,6.104948812234216
random,random,avoid_walls,exclude_walls,48,24,24,1,0.7,88.22,5.040396809775992
random,random,avoid_walls,include_walls,48,24,24,1,0.7,87.1,5.098234988699522
random,random,avoid_walls,False,48,24,24,1,0.7,86.2,4.971116574774725
random,random,avoid_walls,False,48,24,24,1,0.9,85.38000000000001,8.61148070891412
random,random,avoid_walls,include_walls,48,24,24,1,0.9,84.26,7.748961220705651
random,random,random,False,48,24,24,1,0.7,84.17999999999999,5.509047104536318
random,random,random,False,48,24,24,1,0.5,83.86,2.804710323723291
random,random,random,False,48,24,24,1,0.9,83.1,1.9879637823662712
random,random,avoid_walls,exclude_walls,48,24,24,1,0.9,82.7,1.479188966968047
random,random,random,include_walls,48,24,24,1,0.5,82.56,3.1155095891362596
random,random,random,exclude_walls,48,24,24,1,0.9,82.32000000000001,4.193041855264508
random,random,avoid_walls,exclude_walls,48,24,24,1,0.5,82.11999999999999,5.790474937343222
random,random,random,exclude_walls,48,24,24,1,0.5,81.9,1.1135528725660022
random,random,random,False,48,24,24,1,0.99,81.41999999999999,2.9006206232459975
random,random,random,exclude_walls,48,24,24,1,0.99,81.12,1.9187495928338347
random,random,random,include_walls,48,24,24,1,0.9,80.22,3.2220490374915136
random,random,random,include_walls,48,24,24,1,0.7,80.16,4.280934477424293
random,random,random,exclude_walls,48,24,24,1,0.7,79.67999999999999,5.794963330341273
random,random,random,False,48,0,48,1,0.7,78.99999999999999,4.394086935871889
random,random,avoid_walls,exclude_walls,48,24,24,1,0.99,78.34,6.450612374030856
random,random,random,include_walls,48,24,24,1,0.99,77.7,5.520507223072894
random,random,avoid_walls,False,48,0,48,1,0.5,76.74000000000001,1.95816240388789
random,random,random,False,48,0,48,1,0.99,75.66,4.462555321785936
random,random,avoid_walls,False,48,0,48,1,0.99,75.46000000000001,3.623037399751762
random,random,random,False,48,0,48,1,0.9,75.34,8.222067866419005
random,random,random,False,48,0,48,1,0.5,74.22,6.403561509035421
random,random,avoid_walls,False,48,0,48,1,0.7,74.17999999999999,2.204903626011805
random,random,avoid_walls,False,48,0,48,1,0.9,73.24,5.035315283078114
random,random,avoid_walls,include_walls,48,24,24,1,0.99,72.4,5.6945588064397015
random,random,avoid_walls,include_walls,48,0,48,1,0.5,71.8,6.890573270780885
random,random,avoid_walls,exclude_walls,48,0,48,1,0.7,71.08,4.727113284024404
random,random,avoid_walls,exclude_walls,48,0,48,1,0.5,70.34,6.060231018698876
random,random,avoid_walls,exclude_walls,48,0,48,1,0.9,69.8,5.1617826378103135
random,random,avoid_walls,include_walls,48,0,48,1,0.7,69.17999999999999,5.279166600894502
random,random,avoid_walls,include_walls,48,0,48,1,0.9,68.91999999999999,3.8117712418244634
random,random,random,exclude_walls,48,0,48,1,0.7,67.38,2.626328235388715
random,random,random,include_walls,48,0,48,1,0.9,66.44000000000001,8.629391635567362
random,random,random,include_walls,48,0,48,1,0.99,64.34,6.240064102234847
random,random,random,include_walls,48,0,48,1,0.7,63.339999999999996,4.179282235025529
random,random,random,exclude_walls,48,0,48,1,0.99,62.88000000000001,5.899627106860229
random,random,avoid_walls,include_walls,48,0,48,1,0.99,62.0,7.004855458894211
random,random,random,exclude_walls,48,0,48,1,0.5,61.519999999999996,4.297627252333547
random,random,avoid_walls,exclude_walls,48,0,48,1,0.99,60.36,8.570087514138931
random,random,avoid_walls,False,48,48,0,1,1.0,60.31999999999999,3.438255371551099
random,random,random,exclude_walls,48,0,48,1,0.9,59.94,3.4412788320622894
random,random,random,include_walls,48,0,48,1,0.5,57.32000000000001,4.579257581748376
