mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,test_mean,test_std
generalize,random,avoid_walls,False,12,6,6,1,38.92,4.177750590928088
generalize,random,avoid_walls,False,24,12,12,1,100.18,5.594783284453471
generalize,random,avoid_walls,False,48,24,24,1,200.54,15.452844398362394
generalize,random,avoid_walls,False,100,50,50,1,327.93999999999994,19.00206304589056
generalize,random,avoid_walls,include_walls,6,3,3,1,26.839999999999996,3.693020444026814
generalize,random,avoid_walls,include_walls,12,6,6,1,33.92,5.252961069720582
generalize,random,avoid_walls,include_walls,24,12,12,1,91.38,12.893316097885757
generalize,random,avoid_walls,include_walls,48,24,24,1,189.01999999999998,19.63663922365536
generalize,random,avoid_walls,include_walls,100,50,50,1,329.0,22.954563816374293
generalize,random,random,False,6,3,3,1,33.71999999999999,3.6002222153639343
generalize,random,random,False,12,6,6,1,38.0,4.920162598939186
generalize,random,random,False,24,12,12,1,93.64,8.815803990561493
generalize,random,random,False,48,24,24,1,176.89999999999998,23.65358323806353
generalize,random,random,False,100,50,50,1,244.68,12.187107942411933
generalize,random,random,include_walls,6,3,3,1,33.72,3.6002222153639343
generalize,random,random,include_walls,12,6,6,1,37.99999999999999,4.920162598939186
generalize,random,random,include_walls,24,12,12,1,91.5,9.617276121646917
generalize,random,random,include_walls,48,24,24,1,172.38,23.22114553591188
generalize,random,random,include_walls,100,50,50,1,242.95999999999998,11.74522881854585
random,episodic_semantic,avoid_walls,False,6,0,6,1,52.239999999999995,10.803814141311392
random,episodic_semantic,avoid_walls,False,6,3,3,1,61.55999999999999,3.5023420735273683
random,episodic_semantic,avoid_walls,False,6,6,0,1,58.5,6.548893036231387
random,episodic_semantic,avoid_walls,False,12,0,12,1,80.02000000000001,28.564551458057238
random,episodic_semantic,avoid_walls,False,12,6,6,1,93.16,13.618898633883726
random,episodic_semantic,avoid_walls,False,12,12,0,1,94.82,13.241963600614525
random,episodic_semantic,avoid_walls,False,24,0,24,1,182.92,10.353820550888445
random,episodic_semantic,avoid_walls,False,24,12,12,1,162.04000000000002,32.23418061623408
random,episodic_semantic,avoid_walls,False,24,24,0,1,152.47999999999996,20.05267064507867
random,episodic_semantic,avoid_walls,False,48,0,48,1,312.2,44.378553378856324
random,episodic_semantic,avoid_walls,False,48,24,24,1,304.64,19.379638799523583
random,episodic_semantic,avoid_walls,False,48,48,0,1,248.56,17.880223712246995
random,episodic_semantic,avoid_walls,False,100,0,100,1,352.0,25.85180844737947
random,episodic_semantic,avoid_walls,False,100,50,50,1,408.9,34.17092331207924
random,episodic_semantic,avoid_walls,False,100,100,0,1,289.66,28.186067480228598
random,episodic_semantic,avoid_walls,include_walls,6,0,6,1,56.52,6.26718437577833
random,episodic_semantic,avoid_walls,include_walls,6,3,3,1,57.18000000000001,6.401687277585497
random,episodic_semantic,avoid_walls,include_walls,12,0,12,1,64.56,11.132043837499024
random,episodic_semantic,avoid_walls,include_walls,12,6,6,1,89.47999999999999,10.795999258984786
random,episodic_semantic,avoid_walls,include_walls,24,0,24,1,137.92,21.884186071225034
random,episodic_semantic,avoid_walls,include_walls,24,12,12,1,163.4,19.38917223607032
random,episodic_semantic,avoid_walls,include_walls,48,0,48,1,227.98000000000002,27.016543080120375
random,episodic_semantic,avoid_walls,include_walls,48,24,24,1,265.43999999999994,23.734666629215596
random,episodic_semantic,avoid_walls,include_walls,100,0,100,1,310.4,34.28364041346834
random,episodic_semantic,avoid_walls,include_walls,100,50,50,1,378.42,38.37438729152557
random,episodic_semantic,random,False,6,0,6,1,41.339999999999996,13.746650501122083
random,episodic_semantic,random,False,6,3,3,1,58.54,5.004238203762887
random,episodic_semantic,random,False,6,6,0,1,56.419999999999995,5.86392360113943
random,episodic_semantic,random,False,12,0,12,1,85.14,16.44002433088224
random,episodic_semantic,random,False,12,6,6,1,89.26000000000002,16.87466740412978
random,episodic_semantic,random,False,12,12,0,1,85.85999999999999,8.505433557438447
random,episodic_semantic,random,False,24,0,24,1,177.5,29.325688397717112
random,episodic_semantic,random,False,24,12,12,1,151.14000000000001,22.122802715750105
random,episodic_semantic,random,False,24,24,0,1,132.95999999999998,11.187957811861823
random,episodic_semantic,random,False,48,0,48,1,279.46000000000004,21.88977843652146
random,episodic_semantic,random,False,48,24,24,1,252.38000000000002,32.526629090638956
random,episodic_semantic,random,False,48,48,0,1,191.72,18.442711297420452
random,episodic_semantic,random,False,100,0,100,1,289.82,22.498746631757065
random,episodic_semantic,random,False,100,50,50,1,340.43999999999994,28.633309274339904
random,episodic_semantic,random,False,100,100,0,1,263.96,21.515352658043966
random,episodic_semantic,random,include_walls,6,0,6,1,35.86,15.150920764098792
random,episodic_semantic,random,include_walls,6,3,3,1,53.279999999999994,6.226845108078408
random,episodic_semantic,random,include_walls,12,0,12,1,78.32,13.046133526834682
random,episodic_semantic,random,include_walls,12,6,6,1,83.6,16.30864801263428
random,episodic_semantic,random,include_walls,24,0,24,1,139.12,22.775548291973127
random,episodic_semantic,random,include_walls,24,12,12,1,144.6,14.613418491236057
random,episodic_semantic,random,include_walls,48,0,48,1,244.84,16.523268441806536
random,episodic_semantic,random,include_walls,48,24,24,1,223.44,27.607796000405393
random,episodic_semantic,random,include_walls,100,0,100,1,287.82,25.2459422482109
random,episodic_semantic,random,include_walls,100,50,50,1,317.58000000000004,26.224065283628324
random,random,avoid_walls,False,6,0,6,1,22.82,6.121241704098932
random,random,avoid_walls,False,6,3,3,1,31.98,6.2207395058787025
random,random,avoid_walls,False,6,6,0,1,31.72,3.6185079798170947
random,random,avoid_walls,False,12,0,12,1,34.96,6.550297703158231
random,random,avoid_walls,False,12,6,6,1,56.739999999999995,6.822492213260491
random,random,avoid_walls,False,12,12,0,1,48.67999999999999,4.510166294051697
random,random,avoid_walls,False,24,0,24,1,98.88000000000001,12.219885433178167
random,random,avoid_walls,False,24,12,12,1,89.44000000000001,4.123396658096332
random,random,avoid_walls,False,24,24,0,1,73.55999999999999,7.192384861782633
random,random,avoid_walls,False,48,0,48,1,153.67999999999998,19.591773783912473
random,random,avoid_walls,False,48,24,24,1,190.26000000000002,8.854964709133517
random,random,avoid_walls,False,48,48,0,1,112.08,14.766638073711967
random,random,avoid_walls,False,100,0,100,1,164.04000000000002,26.10353232802029
random,random,avoid_walls,False,100,50,50,1,292.88,27.284603717114884
random,random,avoid_walls,False,100,100,0,1,156.12000000000003,17.705863435596697
random,random,avoid_walls,include_walls,6,0,6,1,23.16,6.329170561771898
random,random,avoid_walls,include_walls,6,3,3,1,32.08,2.537242597782088
random,random,avoid_walls,include_walls,12,0,12,1,31.920000000000005,7.990844761350328
random,random,avoid_walls,include_walls,12,6,6,1,49.339999999999996,6.101999672238601
random,random,avoid_walls,include_walls,24,0,24,1,71.3,10.07333112728853
random,random,avoid_walls,include_walls,24,12,12,1,83.97999999999999,5.892164288273029
random,random,avoid_walls,include_walls,48,0,48,1,101.84,11.370241861983414
random,random,avoid_walls,include_walls,48,24,24,1,177.3,12.122211019446908
random,random,avoid_walls,include_walls,100,0,100,1,148.48000000000002,4.7859795235667315
random,random,avoid_walls,include_walls,100,50,50,1,280.1,15.945657716130752
random,random,random,False,6,0,6,1,22.4,7.439892472341251
random,random,random,False,6,3,3,1,30.360000000000003,7.197944150936433
random,random,random,False,6,6,0,1,27.9,5.1056831080669305
random,random,random,False,12,0,12,1,41.1,8.322739933459413
random,random,random,False,12,6,6,1,50.3,11.628069487236477
random,random,random,False,12,12,0,1,43.160000000000004,7.009022756419045
random,random,random,False,24,0,24,1,91.47999999999999,11.563286729991606
random,random,random,False,24,12,12,1,84.26,14.940361441410978
random,random,random,False,24,24,0,1,65.03999999999999,12.093899288484254
random,random,random,False,48,0,48,1,137.16,13.367363240370183
random,random,random,False,48,24,24,1,156.52,22.970972987664233
random,random,random,False,48,48,0,1,93.66,17.02605062837533
random,random,random,False,100,0,100,1,141.68,13.952118118766057
random,random,random,False,100,50,50,1,234.21999999999997,30.385615017636226
random,random,random,False,100,100,0,1,129.16,22.409337339600206
random,random,random,include_walls,6,0,6,1,21.380000000000003,6.356854568102057
random,random,random,include_walls,6,3,3,1,27.0,4.886307399253551
random,random,random,include_walls,12,0,12,1,37.059999999999995,5.163951974989698
random,random,random,include_walls,12,6,6,1,49.28000000000001,9.628167011430577
random,random,random,include_walls,24,0,24,1,79.03999999999999,10.21931504553999
random,random,random,include_walls,24,12,12,1,80.22,11.083753876733278
random,random,random,include_walls,48,0,48,1,127.46,11.583885358548745
random,random,random,include_walls,48,24,24,1,144.08,20.81263078036989
random,random,random,include_walls,100,0,100,1,141.1,14.469968901141426
random,random,random,include_walls,100,50,50,1,223.28000000000003,27.45442769390759
semantic,semantic,avoid_walls,False,6,0,6,1,91.04,7.1754024277388115
semantic,semantic,avoid_walls,False,12,0,12,1,97.42,7.638690987335464
semantic,semantic,avoid_walls,False,24,0,24,1,229.62000000000003,8.730498267567551
semantic,semantic,avoid_walls,False,48,0,48,1,350.36,38.02649602579759
semantic,semantic,avoid_walls,False,100,0,100,1,431.46000000000004,33.33170262677861
semantic,semantic,avoid_walls,include_walls,6,0,6,1,55.32000000000001,6.188828645228433
semantic,semantic,avoid_walls,include_walls,12,0,12,1,97.12,12.408771091449786
semantic,semantic,avoid_walls,include_walls,24,0,24,1,179.3,20.150434238497187
semantic,semantic,avoid_walls,include_walls,48,0,48,1,301.42,9.988273124018994
semantic,semantic,avoid_walls,include_walls,100,0,100,1,444.5400000000001,18.59081493641417
semantic,semantic,random,False,6,0,6,1,56.21999999999999,21.862332903878304
semantic,semantic,random,False,12,0,12,1,110.22,14.428222343726205
semantic,semantic,random,False,24,0,24,1,201.46,21.271821736748354
semantic,semantic,random,False,48,0,48,1,304.97999999999996,20.370311730555322
semantic,semantic,random,False,100,0,100,1,357.1,33.66392728129027
semantic,semantic,random,include_walls,6,0,6,1,46.3,11.94554310192718
semantic,semantic,random,include_walls,12,0,12,1,126.5,11.81947545367391
semantic,semantic,random,include_walls,24,0,24,1,188.22,17.273957276779395
semantic,semantic,random,include_walls,48,0,48,1,282.48,27.31771586351977
semantic,semantic,random,include_walls,100,0,100,1,357.2799999999999,35.074571985984385
