mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,test_mean,test_std
random,episodic_semantic,avoid_walls,include_walls,24,12,12,1,70.8,7.436396977031283
generalize,episodic_semantic,random,False,24,12,12,1,70.04,4.825598408487801
generalize,episodic_semantic,random,include_walls,24,12,12,1,69.16,4.220236960171786
random,episodic_semantic,avoid_walls,False,24,24,0,1,66.28,6.368798944856087
episodic,episodic,random,False,24,24,0,1,62.220000000000006,4.992554456388032
semantic,semantic,random,False,24,0,24,1,57.08,6.084537780308378
random,episodic_semantic,random,False,24,12,12,1,56.339999999999996,4.6624457101396874
random,episodic_semantic,random,include_walls,24,12,12,1,54.019999999999996,4.836693085156426
random,episodic_semantic,avoid_walls,False,24,0,24,1,52.6,12.448935697480326
random,episodic_semantic,random,False,24,24,0,1,52.36,4.258920050904924
semantic,semantic,avoid_walls,False,24,0,24,1,52.04,8.458510507175598
semantic,semantic,random,include_walls,24,0,24,1,49.02,2.489497941352835
generalize,random,avoid_walls,False,24,12,12,1,44.67999999999999,4.196855966077463
generalize,random,avoid_walls,include_walls,24,12,12,1,44.2,3.9854736230465746
random,episodic_semantic,random,False,24,0,24,1,44.04,3.22837420383697
generalize,random,random,False,24,12,12,1,40.15999999999999,3.8629522388970856
generalize,random,random,include_walls,24,12,12,1,38.68,3.079870127131987
random,random,avoid_walls,False,24,12,12,1,35.559999999999995,4.430620724006965
random,episodic_semantic,random,include_walls,24,0,24,1,34.06,2.1039011383617825
random,random,avoid_walls,False,24,24,0,1,33.94,4.022238182902649
random,episodic_semantic,avoid_walls,include_walls,24,0,24,1,33.04,9.41224734056644
random,random,avoid_walls,include_walls,24,12,12,1,32.92,3.7472122971617177
random,random,random,False,24,12,12,1,32.660000000000004,3.7323451073018425
semantic,semantic,avoid_walls,include_walls,24,0,24,1,31.76,1.8510537539466538
random,random,random,include_walls,24,12,12,1,30.74,2.322584767021432
random,random,random,False,24,24,0,1,27.920000000000005,2.6209921785461323
random,random,avoid_walls,False,24,0,24,1,24.160000000000004,4.083429930830208
random,random,random,False,24,0,24,1,24.040000000000003,1.540908822740658
random,random,random,include_walls,24,0,24,1,19.159999999999997,2.224949437627741
