mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,test_mean,test_std
generalize,episodic_semantic,random,include_walls,24,12,12,1,188.85999999999999,7.581187242114523
semantic,semantic,random,include_walls,24,0,24,1,188.22,17.273957276779395
random,episodic_semantic,avoid_walls,False,24,0,24,1,182.92,10.353820550888445
semantic,semantic,avoid_walls,include_walls,24,0,24,1,179.3,20.150434238497187
random,episodic_semantic,random,False,24,0,24,1,177.5,29.325688397717112
generalize,episodic_semantic,avoid_walls,include_walls,24,12,12,1,165.54,33.55417112670197
random,episodic_semantic,avoid_walls,include_walls,24,12,12,1,163.4,19.38917223607032
random,episodic_semantic,avoid_walls,False,24,12,12,1,162.04000000000002,32.23418061623408
random,episodic_semantic,avoid_walls,False,24,24,0,1,152.47999999999996,20.05267064507867
random,episodic_semantic,random,False,24,12,12,1,151.14000000000001,22.122802715750105
random,episodic_semantic,random,include_walls,24,12,12,1,144.6,14.613418491236057
random,episodic_semantic,random,include_walls,24,0,24,1,139.12,22.775548291973127
random,episodic_semantic,avoid_walls,include_walls,24,0,24,1,137.92,21.884186071225034
random,episodic_semantic,random,False,24,24,0,1,132.95999999999998,11.187957811861823
episodic,episodic,random,False,24,24,0,1,115.96,10.726900763967194
generalize,random,avoid_walls,False,24,12,12,1,100.18,5.594783284453471
random,random,avoid_walls,False,24,0,24,1,98.88000000000001,12.219885433178167
generalize,random,random,False,24,12,12,1,93.64,8.815803990561493
generalize,random,random,include_walls,24,12,12,1,91.5,9.617276121646917
random,random,random,False,24,0,24,1,91.47999999999999,11.563286729991606
generalize,random,avoid_walls,include_walls,24,12,12,1,91.38,12.893316097885757
random,random,avoid_walls,False,24,12,12,1,89.44000000000001,4.123396658096332
random,random,random,False,24,12,12,1,84.26,14.940361441410978
random,random,avoid_walls,include_walls,24,12,12,1,83.97999999999999,5.892164288273029
random,random,random,include_walls,24,12,12,1,80.22,11.083753876733278
random,random,random,include_walls,24,0,24,1,79.03999999999999,10.21931504553999
random,random,avoid_walls,False,24,24,0,1,73.55999999999999,7.192384861782633
random,random,avoid_walls,include_walls,24,0,24,1,71.3,10.07333112728853
random,random,random,False,24,24,0,1,65.03999999999999,12.093899288484254
semantic,semantic,avoid_walls,False,48,0,48,1,350.36,38.02649602579759
generalize,episodic_semantic,avoid_walls,include_walls,48,24,24,1,348.41999999999996,30.707093643000462
generalize,episodic_semantic,avoid_walls,False,48,24,24,1,331.34000000000003,13.129295487572827
random,episodic_semantic,avoid_walls,False,48,0,48,1,312.2,44.378553378856324
semantic,semantic,random,False,48,0,48,1,304.97999999999996,20.370311730555322
random,episodic_semantic,avoid_walls,False,48,24,24,1,304.64,19.379638799523583
semantic,semantic,avoid_walls,include_walls,48,0,48,1,301.42,9.988273124018994
generalize,episodic_semantic,random,include_walls,48,24,24,1,283.53999999999996,33.39799994011618
generalize,episodic_semantic,random,False,48,24,24,1,283.4,33.58827176262572
semantic,semantic,random,include_walls,48,0,48,1,282.48,27.31771586351977
random,episodic_semantic,random,False,48,0,48,1,279.46000000000004,21.88977843652146
episodic,episodic,avoid_walls,False,48,48,0,1,273.88,23.478194138391483
random,episodic_semantic,avoid_walls,include_walls,48,24,24,1,265.43999999999994,23.734666629215596
random,episodic_semantic,random,False,48,24,24,1,252.38000000000002,32.526629090638956
random,episodic_semantic,avoid_walls,False,48,48,0,1,248.56,17.880223712246995
random,episodic_semantic,random,include_walls,48,0,48,1,244.84,16.523268441806536
random,episodic_semantic,avoid_walls,include_walls,48,0,48,1,227.98000000000002,27.016543080120375
random,episodic_semantic,random,include_walls,48,24,24,1,223.44,27.607796000405393
generalize,random,avoid_walls,False,48,24,24,1,200.54,15.452844398362394
random,episodic_semantic,random,False,48,48,0,1,191.72,18.442711297420452
random,random,avoid_walls,False,48,24,24,1,190.26000000000002,8.854964709133517
generalize,random,avoid_walls,include_walls,48,24,24,1,189.01999999999998,19.63663922365536
random,random,avoid_walls,include_walls,48,24,24,1,177.3,12.122211019446908
generalize,random,random,False,48,24,24,1,176.89999999999998,23.65358323806353
generalize,random,random,include_walls,48,24,24,1,172.38,23.22114553591188
episodic,episodic,random,False,48,48,0,1,157.28,13.95498477247468
random,random,random,False,48,24,24,1,156.52,22.970972987664233
random,random,avoid_walls,False,48,0,48,1,153.67999999999998,19.591773783912473
random,random,random,include_walls,48,24,24,1,144.08,20.81263078036989
random,random,random,False,48,0,48,1,137.16,13.367363240370183
random,random,random,include_walls,48,0,48,1,127.46,11.583885358548745
random,random,avoid_walls,False,48,48,0,1,112.08,14.766638073711967
random,random,avoid_walls,include_walls,48,0,48,1,101.84,11.370241861983414
random,random,random,False,48,48,0,1,93.66,17.02605062837533
generalize,episodic_semantic,avoid_walls,False,96,48,48,1,490.0400000000001,30.87452671702031
semantic,semantic,avoid_walls,include_walls,96,0,96,1,473.66,20.13088174919321
generalize,episodic_semantic,avoid_walls,include_walls,96,48,48,1,471.9599999999999,36.86657564786836
semantic,semantic,avoid_walls,False,96,0,96,1,445.45,34.25119705937297
episodic,episodic,avoid_walls,False,96,96,0,1,397.23999999999995,40.36481636276821
random,episodic_semantic,avoid_walls,False,96,48,48,1,391.13,32.92075485161298
generalize,episodic_semantic,random,False,96,48,48,1,376.04,16.72304996105675
generalize,episodic_semantic,random,include_walls,96,48,48,1,375.39,16.83706922240328
semantic,semantic,random,False,96,0,96,1,356.27000000000004,33.72097418521594
semantic,semantic,random,include_walls,96,0,96,1,356.21999999999997,34.706823536590036
random,episodic_semantic,avoid_walls,False,96,0,96,1,348.62,41.07865138974259
random,episodic_semantic,avoid_walls,include_walls,96,48,48,1,339.64,38.26604761404031
random,episodic_semantic,random,False,96,48,48,1,330.54,28.748119938528152
random,episodic_semantic,avoid_walls,False,96,96,0,1,323.8,34.07914318171747
generalize,random,avoid_walls,False,96,48,48,1,317.90999999999997,17.830504760101444
random,episodic_semantic,avoid_walls,include_walls,96,0,96,1,316.5199999999999,22.804069812206755
generalize,random,avoid_walls,include_walls,96,48,48,1,299.49,21.154358888890965
random,episodic_semantic,random,include_walls,96,0,96,1,290.18,23.785155034180455
random,episodic_semantic,random,False,96,0,96,1,289.78000000000003,22.89937990426816
random,random,avoid_walls,False,96,48,48,1,274.67,24.45326358586927
random,episodic_semantic,random,include_walls,96,48,48,1,271.22999999999996,36.11891609669372
random,episodic_semantic,random,False,96,96,0,1,259.64,21.534214636248052
generalize,random,random,False,96,48,48,1,245.83,21.76662812656108
generalize,random,random,include_walls,96,48,48,1,245.33999999999997,22.07605943097635
random,random,random,False,96,48,48,1,226.73000000000002,31.908809128514967
episodic,episodic,random,False,96,96,0,1,212.5,18.268114297868834
random,random,avoid_walls,include_walls,96,48,48,1,208.35999999999999,16.663144961261068
random,random,random,include_walls,96,48,48,1,181.26000000000002,32.55844590885751
random,random,avoid_walls,include_walls,96,0,96,1,166.6,20.395636788293714
random,random,avoid_walls,False,96,0,96,1,158.51000000000002,16.738605079277068
random,random,avoid_walls,False,96,96,0,1,152.98000000000002,17.47768863437039
random,random,random,False,96,0,96,1,142.23000000000002,15.303858990463807
random,random,random,include_walls,96,0,96,1,141.84,15.084243434789824
random,random,random,False,96,96,0,1,127.36000000000001,22.026765536501266
generalize,episodic_semantic,avoid_walls,include_walls,100,50,50,1,534.5,36.08279368341648
generalize,episodic_semantic,avoid_walls,False,100,50,50,1,525.9,32.70859214334974
semantic,semantic,avoid_walls,include_walls,100,0,100,1,444.5400000000001,18.59081493641417
semantic,semantic,avoid_walls,False,100,0,100,1,431.46000000000004,33.33170262677861
random,episodic_semantic,avoid_walls,False,100,50,50,1,408.9,34.17092331207924
episodic,episodic,avoid_walls,False,100,100,0,1,379.21999999999997,32.14799527186725
random,episodic_semantic,avoid_walls,include_walls,100,50,50,1,378.42,38.37438729152557
generalize,episodic_semantic,random,False,100,50,50,1,373.54,33.56465998636066
generalize,episodic_semantic,random,include_walls,100,50,50,1,371.38,33.177426060500835
semantic,semantic,random,include_walls,100,0,100,1,357.2799999999999,35.074571985984385
semantic,semantic,random,False,100,0,100,1,357.1,33.66392728129027
random,episodic_semantic,avoid_walls,False,100,0,100,1,352.0,25.85180844737947
random,episodic_semantic,random,False,100,50,50,1,340.43999999999994,28.633309274339904
generalize,random,avoid_walls,include_walls,100,50,50,1,329.0,22.954563816374293
generalize,random,avoid_walls,False,100,50,50,1,327.93999999999994,19.00206304589056
random,episodic_semantic,random,include_walls,100,50,50,1,317.58000000000004,26.224065283628324
random,episodic_semantic,avoid_walls,include_walls,100,0,100,1,310.4,34.28364041346834
random,random,avoid_walls,False,100,50,50,1,292.88,27.284603717114884
random,episodic_semantic,random,False,100,0,100,1,289.82,22.498746631757065
random,episodic_semantic,avoid_walls,False,100,100,0,1,289.66,28.186067480228598
random,episodic_semantic,random,include_walls,100,0,100,1,287.82,25.2459422482109
random,random,avoid_walls,include_walls,100,50,50,1,280.1,15.945657716130752
random,episodic_semantic,random,False,100,100,0,1,263.96,21.515352658043966
generalize,random,random,False,100,50,50,1,244.68,12.187107942411933
generalize,random,random,include_walls,100,50,50,1,242.95999999999998,11.74522881854585
random,random,random,False,100,50,50,1,234.21999999999997,30.385615017636226
random,random,random,include_walls,100,50,50,1,223.28000000000003,27.45442769390759
episodic,episodic,random,False,100,100,0,1,216.54000000000002,18.488547806682924
random,random,avoid_walls,False,100,0,100,1,164.04000000000002,26.10353232802029
random,random,avoid_walls,False,100,100,0,1,156.12000000000003,17.705863435596697
random,random,avoid_walls,include_walls,100,0,100,1,148.48000000000002,4.7859795235667315
random,random,random,False,100,0,100,1,141.68,13.952118118766057
random,random,random,include_walls,100,0,100,1,141.1,14.469968901141426
random,random,random,False,100,100,0,1,129.16,22.409337339600206
