mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
semantic,semantic,random,exclude_walls,6,0,6,1,0.99,26.159999999999997,6.376393965243991
semantic,semantic,random,include_walls,6,0,6,1,0.99,26.1,2.5604687070925127
random,episodic_semantic,avoid_walls,False,6,0,6,1,0.9,25.659999999999997,4.021243588742168
semantic,semantic,avoid_walls,exclude_walls,6,0,6,1,0.99,25.5,2.105231578710524
random,episodic_semantic,random,include_walls,6,0,6,1,0.5,25.339999999999996,3.3559499400318837
semantic,semantic,random,include_walls,6,0,6,1,0.9,25.3,5.539314036954396
random,episodic_semantic,avoid_walls,False,6,6,0,1,1.0,25.14,1.8789358690492868
random,episodic_semantic,random,False,6,3,3,1,0.5,25.139999999999997,4.521327238765184
random,episodic_semantic,random,include_walls,6,0,6,1,0.9,25.139999999999997,3.585861123914311
random,episodic_semantic,random,False,6,3,3,1,0.99,24.9,4.559385923564706
random,episodic_semantic,random,include_walls,6,3,3,1,0.5,24.64,1.9865548066942427
random,episodic_semantic,random,exclude_walls,6,0,6,1,0.5,24.56,2.361016730139794
random,episodic_semantic,random,exclude_walls,6,3,3,1,0.5,24.34,1.9303885619221839
random,episodic_semantic,random,False,6,0,6,1,0.5,24.18,4.672643791259933
random,episodic_semantic,random,False,6,0,6,1,0.9,23.98,4.453043902770328
episodic,episodic,random,False,6,6,0,1,1.0,23.940000000000005,2.420413187866897
random,episodic_semantic,avoid_walls,False,6,0,6,1,0.7,23.880000000000003,1.881913919391639
random,episodic_semantic,random,False,6,3,3,1,0.7,23.880000000000003,5.498145141772816
random,episodic_semantic,random,False,6,3,3,1,0.9,23.8,3.8120860431002876
random,episodic_semantic,random,exclude_walls,6,3,3,1,0.9,23.660000000000004,5.158526921515481
random,episodic_semantic,avoid_walls,False,6,0,6,1,0.5,23.560000000000002,2.6896839963088603
random,episodic_semantic,avoid_walls,False,6,0,6,1,0.99,22.5,6.921849463835515
random,episodic_semantic,random,exclude_walls,6,0,6,1,0.9,22.200000000000003,6.53299318842443
random,episodic_semantic,random,include_walls,6,0,6,1,0.7,21.7,1.5073154945133413
random,episodic_semantic,random,exclude_walls,6,3,3,1,0.99,21.66,5.1063098221709975
random,episodic_semantic,random,exclude_walls,6,0,6,1,0.99,21.6,4.923413450036469
random,episodic_semantic,random,include_walls,6,3,3,1,0.9,21.259999999999998,4.417057844312207
random,episodic_semantic,random,False,6,0,6,1,0.99,20.4,3.1956220051814643
random,episodic_semantic,random,False,6,6,0,1,1.0,19.56,2.3303218661807215
random,episodic_semantic,random,include_walls,6,3,3,1,0.99,19.419999999999998,3.9372071319655007
random,episodic_semantic,avoid_walls,exclude_walls,6,0,6,1,0.99,18.9,3.0659419433511776
random,episodic_semantic,avoid_walls,include_walls,6,0,6,1,0.99,17.52,2.077883538603644
random,episodic_semantic,random,include_walls,6,0,6,1,0.99,17.080000000000002,3.720967616091276
random,random,avoid_walls,exclude_walls,6,3,3,1,0.5,17.0,2.4372115213907883
random,random,avoid_walls,exclude_walls,6,3,3,1,0.9,16.26,1.691862878604528
random,random,avoid_walls,False,6,3,3,1,0.5,16.240000000000002,1.776063061943466
random,random,avoid_walls,include_walls,6,3,3,1,0.9,15.86,0.949947366963033
random,random,avoid_walls,exclude_walls,6,3,3,1,0.7,15.680000000000001,1.9610201426808447
random,random,avoid_walls,False,6,3,3,1,0.7,15.620000000000001,1.2607934009979584
random,random,avoid_walls,exclude_walls,6,0,6,1,0.7,15.539999999999997,1.6883127672324223
random,random,avoid_walls,include_walls,6,3,3,1,0.7,15.439999999999998,2.5912159307938816
random,random,avoid_walls,False,6,3,3,1,0.9,15.38,1.5144636014114037
random,random,avoid_walls,include_walls,6,3,3,1,0.99,15.0,1.0099504938362078
random,random,avoid_walls,include_walls,6,3,3,1,0.5,14.940000000000001,1.6883127672324227
random,random,random,include_walls,6,3,3,1,0.9,13.86,2.9076450952617994
random,random,avoid_walls,exclude_walls,6,0,6,1,0.9,13.8,1.8558017135459277
random,random,random,exclude_walls,6,3,3,1,0.99,13.74,1.1825396399275585
random,random,avoid_walls,include_walls,6,0,6,1,0.99,13.64,2.7266096163550806
random,random,avoid_walls,exclude_walls,6,0,6,1,0.5,13.62,1.9953946977979062
random,random,random,exclude_walls,6,0,6,1,0.5,13.6,1.7458522274236155
random,random,avoid_walls,False,6,3,3,1,0.99,13.580000000000002,1.8497567407634985
random,random,avoid_walls,False,6,0,6,1,0.9,13.5,3.4099853372118774
random,random,random,exclude_walls,6,3,3,1,0.7,13.4,1.1027239001672176
random,random,random,False,6,0,6,1,0.9,13.36,2.235710177997139
random,random,random,False,6,3,3,1,0.5,13.180000000000001,1.3658696863171098
random,random,avoid_walls,False,6,0,6,1,0.5,12.920000000000002,0.9019977827023744
random,random,random,exclude_walls,6,3,3,1,0.5,12.9,2.5791471458604303
random,random,avoid_walls,include_walls,6,0,6,1,0.5,12.88,1.312097557348538
random,random,random,include_walls,6,0,6,1,0.5,12.78,1.5702229141112418
random,random,random,False,6,3,3,1,0.7,12.680000000000001,1.9973983077994235
random,random,avoid_walls,exclude_walls,6,3,3,1,0.99,12.64,1.994592690250318
random,random,avoid_walls,False,6,0,6,1,0.7,12.540000000000001,1.3215142829345432
random,random,random,exclude_walls,6,0,6,1,0.9,12.540000000000001,0.6799999999999998
random,random,avoid_walls,include_walls,6,0,6,1,0.7,12.4,1.3431306712304651
random,random,avoid_walls,include_walls,6,0,6,1,0.9,12.26,2.7817979797246246
random,random,random,include_walls,6,3,3,1,0.7,12.16,1.310877568653915
random,random,random,False,6,3,3,1,0.9,12.14,2.618090907512572
random,random,random,False,6,0,6,1,0.7,12.1,1.1933147112141036
random,random,random,include_walls,6,3,3,1,0.5,11.979999999999999,1.817030544597421
random,random,random,False,6,3,3,1,0.99,11.819999999999999,1.770197729068705
random,random,random,include_walls,6,0,6,1,0.9,11.8,1.6037456157383565
random,random,random,exclude_walls,6,3,3,1,0.9,11.64,1.5781001235663092
random,random,random,include_walls,6,0,6,1,0.7,11.52,1.3555810562264439
random,random,avoid_walls,False,6,6,0,1,1.0,11.420000000000002,1.2702755606560334
random,random,random,exclude_walls,6,0,6,1,0.7,11.319999999999999,1.8367362358270176
random,random,random,False,6,0,6,1,0.5,11.080000000000002,1.3481839637082176
random,random,avoid_walls,False,6,0,6,1,0.99,10.56,3.1613920984275263
random,random,random,include_walls,6,3,3,1,0.99,10.4,2.446221576227305
random,random,random,False,6,0,6,1,0.99,10.26,3.192867050160404
random,random,random,exclude_walls,6,0,6,1,0.99,10.0,1.952434377898525
random,random,random,False,6,6,0,1,1.0,9.82,1.057166022912201
random,random,avoid_walls,exclude_walls,6,0,6,1,0.99,9.379999999999999,3.289012009707475
random,random,random,include_walls,6,0,6,1,0.99,7.6,1.6709278859364338
semantic,semantic,avoid_walls,include_walls,12,0,12,1,0.5,61.35999999999999,6.235575354367871
semantic,semantic,random,include_walls,12,0,12,1,0.7,61.24000000000001,3.3302252176091645
semantic,semantic,avoid_walls,False,12,0,12,1,0.7,60.879999999999995,2.7028873450441826
semantic,semantic,avoid_walls,exclude_walls,12,0,12,1,0.5,60.68000000000001,7.760773157360034
semantic,semantic,avoid_walls,include_walls,12,0,12,1,0.7,59.6,7.525423576118488
semantic,semantic,avoid_walls,exclude_walls,12,0,12,1,0.7,59.38000000000001,5.3719270285438565
episodic,episodic,avoid_walls,False,12,12,0,1,1.0,59.379999999999995,5.990459080905234
semantic,semantic,avoid_walls,False,12,0,12,1,0.9,59.3,7.810249675906654
semantic,semantic,avoid_walls,include_walls,12,0,12,1,0.9,59.040000000000006,5.51782565871739
semantic,semantic,avoid_walls,False,12,0,12,1,0.5,58.02,4.068611556784452
random,episodic_semantic,avoid_walls,include_walls,12,6,6,1,0.7,54.660000000000004,6.731894235651657
semantic,semantic,random,exclude_walls,12,0,12,1,0.5,53.67999999999999,3.5016567507395697
random,episodic_semantic,avoid_walls,False,12,0,12,1,0.7,52.46,6.783391482142249
random,episodic_semantic,avoid_walls,include_walls,12,6,6,1,0.5,52.4,4.252058325093861
semantic,semantic,avoid_walls,exclude_walls,12,0,12,1,0.9,52.4,4.876063986454648
random,episodic_semantic,avoid_walls,exclude_walls,12,6,6,1,0.5,52.160000000000004,4.373831272465824
random,episodic_semantic,avoid_walls,False,12,6,6,1,0.5,51.959999999999994,8.02236872750187
semantic,semantic,random,exclude_walls,12,0,12,1,0.9,51.9,8.103579456018187
semantic,semantic,random,False,12,0,12,1,0.7,51.839999999999996,5.945620236779338
semantic,semantic,random,include_walls,12,0,12,1,0.5,51.8,4.989589161444058
random,episodic_semantic,avoid_walls,False,12,6,6,1,0.9,50.800000000000004,2.357116882973773
semantic,semantic,random,False,12,0,12,1,0.5,50.4,7.084913549225567
semantic,semantic,random,False,12,0,12,1,0.9,50.300000000000004,3.851233568611491
semantic,semantic,random,exclude_walls,12,0,12,1,0.7,50.10000000000001,4.9674943381950625
random,episodic_semantic,avoid_walls,exclude_walls,12,6,6,1,0.7,50.040000000000006,8.035570919356012
random,episodic_semantic,avoid_walls,include_walls,12,6,6,1,0.9,49.46,3.54152509520969
random,episodic_semantic,avoid_walls,exclude_walls,12,6,6,1,0.9,49.239999999999995,2.9870386673091462
random,episodic_semantic,random,False,12,0,12,1,0.7,49.08,2.21033934046336
random,episodic_semantic,avoid_walls,include_walls,12,0,12,1,0.7,48.779999999999994,6.422273740662259
random,episodic_semantic,avoid_walls,False,12,0,12,1,0.5,48.48,2.483867951401604
semantic,semantic,random,include_walls,12,0,12,1,0.9,47.779999999999994,3.993695030920614
random,episodic_semantic,avoid_walls,include_walls,12,0,12,1,0.5,47.3,6.155322899734831
random,episodic_semantic,avoid_walls,False,12,0,12,1,0.9,47.18,2.2301569451498255
random,episodic_semantic,avoid_walls,False,12,6,6,1,0.7,46.92,7.122471481164385
random,episodic_semantic,avoid_walls,include_walls,12,0,12,1,0.9,46.839999999999996,6.496337429659883
random,episodic_semantic,avoid_walls,exclude_walls,12,0,12,1,0.5,46.44,6.34652660909887
semantic,semantic,random,False,12,0,12,1,0.99,46.14,3.0309074548722195
random,episodic_semantic,random,exclude_walls,12,0,12,1,0.9,46.0,3.037762334350729
random,episodic_semantic,random,include_walls,12,0,12,1,0.9,45.6,6.764318147455811
semantic,semantic,random,exclude_walls,12,0,12,1,0.99,45.339999999999996,3.764359175211633
random,episodic_semantic,avoid_walls,exclude_walls,12,6,6,1,0.99,44.919999999999995,4.0365331659729975
random,episodic_semantic,random,exclude_walls,12,0,12,1,0.5,43.94,4.602868670731329
random,episodic_semantic,random,False,12,0,12,1,0.9,43.86,6.2573476809268005
random,episodic_semantic,avoid_walls,exclude_walls,12,0,12,1,0.9,43.46,3.5550527422247913
random,episodic_semantic,random,False,12,0,12,1,0.5,43.279999999999994,7.3911839376381385
random,episodic_semantic,random,exclude_walls,12,0,12,1,0.7,43.059999999999995,7.841581473146855
semantic,semantic,random,include_walls,12,0,12,1,0.99,43.04,3.4782754347521134
random,episodic_semantic,avoid_walls,False,12,12,0,1,1.0,42.92,5.498145141772815
random,episodic_semantic,random,exclude_walls,12,6,6,1,0.5,42.67999999999999,5.358134003550117
random,episodic_semantic,avoid_walls,exclude_walls,12,0,12,1,0.7,42.10000000000001,5.935991913741123
random,episodic_semantic,random,include_walls,12,0,12,1,0.7,42.059999999999995,5.588058696900025
random,episodic_semantic,random,include_walls,12,0,12,1,0.5,41.96,5.068964391273625
random,episodic_semantic,avoid_walls,include_walls,12,6,6,1,0.99,40.48,1.983330532210909
random,episodic_semantic,random,False,12,6,6,1,0.9,40.06,2.6747710182368887
random,episodic_semantic,random,False,12,6,6,1,0.5,40.040000000000006,4.18263075109434
random,episodic_semantic,random,include_walls,12,6,6,1,0.5,39.96,5.937541578801787
random,episodic_semantic,random,include_walls,12,6,6,1,0.9,39.739999999999995,2.9547250295078205
random,episodic_semantic,random,False,12,6,6,1,0.99,39.239999999999995,2.1987269043698903
episodic,episodic,random,False,12,12,0,1,1.0,39.08,4.120388331213454
random,episodic_semantic,avoid_walls,False,12,6,6,1,0.99,39.08,5.861535634968024
random,episodic_semantic,random,include_walls,12,6,6,1,0.7,39.04,1.7396551382386123
random,episodic_semantic,random,False,12,6,6,1,0.7,38.6,5.219195340279955
semantic,semantic,avoid_walls,False,12,0,12,1,0.99,38.36,8.890129357889005
random,episodic_semantic,random,False,12,0,12,1,0.99,37.879999999999995,7.075139574594979
random,episodic_semantic,random,exclude_walls,12,6,6,1,0.7,37.68,3.2114794098670467
random,episodic_semantic,random,exclude_walls,12,6,6,1,0.9,37.4,3.781005157362259
random,episodic_semantic,random,include_walls,12,6,6,1,0.99,37.2,8.142481194328912
random,episodic_semantic,random,exclude_walls,12,6,6,1,0.99,36.86,6.08558953594473
random,episodic_semantic,random,False,12,12,0,1,1.0,36.12,3.888135800097522
random,episodic_semantic,random,include_walls,12,0,12,1,0.99,35.96,4.753356708684927
random,episodic_semantic,avoid_walls,exclude_walls,12,0,12,1,0.99,33.38,8.10540560366969
semantic,semantic,avoid_walls,exclude_walls,12,0,12,1,0.99,33.260000000000005,7.684425808087419
random,episodic_semantic,random,exclude_walls,12,0,12,1,0.99,30.119999999999997,5.685560658369587
random,random,avoid_walls,False,12,6,6,1,0.7,28.660000000000004,2.195996357009728
random,random,avoid_walls,include_walls,12,6,6,1,0.5,28.560000000000002,2.8639832401744263
random,episodic_semantic,avoid_walls,include_walls,12,0,12,1,0.99,28.0,4.496220635155708
random,random,avoid_walls,include_walls,12,6,6,1,0.7,27.860000000000003,2.2437468662930766
random,random,avoid_walls,False,12,6,6,1,0.9,27.740000000000002,1.363231455036158
semantic,semantic,avoid_walls,include_walls,12,0,12,1,0.99,27.660000000000004,5.777750427285693
random,random,avoid_walls,False,12,6,6,1,0.5,27.639999999999997,3.1251239975399376
random,episodic_semantic,avoid_walls,False,12,0,12,1,0.99,27.380000000000003,6.519018331006594
random,random,avoid_walls,exclude_walls,12,6,6,1,0.9,26.72,2.0817300497422817
random,random,avoid_walls,exclude_walls,12,6,6,1,0.5,26.340000000000003,2.566398254363496
random,random,avoid_walls,exclude_walls,12,6,6,1,0.7,25.880000000000003,2.888875213642846
random,random,avoid_walls,False,12,0,12,1,0.9,25.22,4.861028697714096
random,random,avoid_walls,include_walls,12,6,6,1,0.9,25.080000000000002,1.8893385085791277
random,random,avoid_walls,include_walls,12,6,6,1,0.99,24.779999999999998,2.743282705081633
random,random,avoid_walls,include_walls,12,0,12,1,0.7,24.619999999999997,2.614880494401226
random,random,avoid_walls,exclude_walls,12,0,12,1,0.9,24.3,2.8305476501906828
random,random,avoid_walls,False,12,6,6,1,0.99,24.14,4.992233968876057
random,random,avoid_walls,False,12,0,12,1,0.7,24.139999999999997,3.363688451685143
random,random,random,include_walls,12,0,12,1,0.7,23.98,2.3735205918634876
random,random,avoid_walls,exclude_walls,12,6,6,1,0.99,23.52,3.3931696096717587
random,random,random,False,12,6,6,1,0.5,23.46,2.3122283624244386
random,random,random,False,12,6,6,1,0.7,23.28,1.7057549648176313
random,random,random,exclude_walls,12,0,12,1,0.7,23.240000000000002,3.9747201159326924
random,random,avoid_walls,exclude_walls,12,0,12,1,0.5,23.06,2.4401639289195307
random,random,random,include_walls,12,6,6,1,0.9,23.06,4.985017552627072
random,random,random,exclude_walls,12,6,6,1,0.7,22.88,4.317128675404523
random,random,random,exclude_walls,12,0,12,1,0.9,22.759999999999998,4.264551559073944
